Code,AreaName,part,Type,TotalPop,TMales,TFemales,ITotalPop,IMales,IFemales,LTotalPop,LMales,LFemales,LWETotalPop,LWEMales,LWEFemales,BPTotalPop,BPMales,BPFemales,PTotalPop,PMales,PFemales,MTotalPop,MMales,MFemales,STotalPop,SMales,SFemales,SSTotalPop,SSMales,SSFemales,NTDTotalPop,NTDMales,NTDFemales,TDTotalPop,TDMales,TDFemales,GTotalPop,GMales,GFemales,UNTotalPop,UNMales,UNFemales
1, JAMMU & KASHMIR,North,Total,12541302,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562,195783,124009,71774,987774,541130,446644,1285909,719512,566397,1666381,1015129,651252,1411973,919672,492301,776437,486800,289637,4781,3542,1239,50822,33854,16968,653764,401279,252485,33609,19744,13865
1, JAMMU & KASHMIR,North,Rural,9108060,4774477,4333583,4360110,1882728,2477382,4747950,2891749,1856201,114239,71510,42729,763590,419327,344263,999472,564510,434962,1243109,770561,472548,887397,583213,304184,445283,282329,162954,2833,2149,684,14721,10723,3998,254288,173914,80374,23018,13513,9505
1, JAMMU & KASHMIR,North,Urban,3433242,1866185,1567057,1113959,493263,620696,2319283,1372922,946361,81544,52499,29045,224184,121803,102381,286437,155002,131435,423272,244568,178704,524576,336459,188117,331154,204471,126683,1948,1393,555,36101,23131,12970,399476,227365,172111,10591,6231,4360
2, HIMACHAL PRADESH,North,Total,6864602,3481873,3382729,1824866,729283,1095583,5039736,2752590,2287146,130023,64537,65486,611475,326058,285417,1162995,576764,586231,826611,452919,373692,1127997,666498,461499,662457,368592,293865,8519,4077,4442,53413,37213,16200,446609,251164,195445,9637,4768,4869
2, HIMACHAL PRADESH,North,Rural,6176050,3110345,3065705,1704314,672524,1031790,4471736,2437821,2033915,118621,58588,60033,559188,297122,262066,1081117,532805,548312,755572,412688,342884,1009270,598104,411166,574959,320133,254826,6542,3407,3135,41690,29502,12188,315940,181122,134818,8837,4350,4487
2, HIMACHAL PRADESH,North,Urban,688552,371528,317024,120552,56759,63793,568000,314769,253231,11402,5949,5453,52287,28936,23351,81878,43959,37919,71039,40231,30808,118727,68394,50333,87498,48459,39039,1977,670,1307,11723,7711,4012,130669,70042,60627,800,418,382
3, PUNJAB,North,Total,27743338,14639465,13103873,9036201,4203409,4832792,18707137,10436056,8271081,566332,299936,266396,2227684,1273936,953748,4288200,2273540,2014660,3066305,1747063,1319242,4186373,2472299,1714074,2310511,1313943,996568,24287,11117,13170,234365,147801,86564,1760846,873776,887070,42234,22645,19589
3, PUNJAB,North,Rural,17344192,9093476,8250716,6346535,2934669,3411866,10997657,6158807,4838850,347952,185107,162845,1454338,832909,621429,2953365,1555595,1397770,1965243,1117838,847405,2441614,1452187,989427,1233520,703937,529583,8610,4430,4180,104325,64709,39616,460985,227170,233815,27705,14925,12780
3, PUNJAB,North,Urban,10399146,5545989,4853157,2689666,1268740,1420926,7709480,4277249,3432231,218380,114829,103551,773346,441027,332319,1334835,717945,616890,1101062,629225,471837,1744759,1020112,724647,1076991,610006,466985,15677,6687,8990,130040,83092,46948,1299861,646606,653255,14529,7720,6809
4, CHANDIGARH,North,Total,1055450,580663,474787,250012,115317,134695,805438,465346,340092,11254,5586,5668,90869,51211,39658,130243,73645,56598,111879,67964,43915,142206,88021,54185,107599,63200,44399,1506,510,996,13801,9660,4141,194453,104748,89705,1628,801,827
4, CHANDIGARH,North,Rural,28991,17150,11841,9030,4398,4632,19961,12752,7209,267,168,99,2997,1738,1259,4091,2484,1607,3461,2269,1192,4221,2862,1359,2865,1896,969,12,4,8,154,124,30,1872,1195,677,21,12,9
4, CHANDIGARH,North,Urban,1026459,563513,462946,240982,110919,130063,785477,452594,332883,10987,5418,5569,87872,49473,38399,126152,71161,54991,108418,65695,42723,137985,85159,52826,104734,61304,43430,1494,506,988,13647,9536,4111,192581,103553,89028,1607,789,818
5, UTTARAKHAND,Central,Total,10086292,5137773,4948519,3205339,1274065,1931274,6880953,3863708,3017245,145906,72896,73010,1034583,554430,480153,1550574,803056,747518,1406871,806770,600101,1019490,627977,391513,755008,444663,310345,4816,3102,1714,36172,30072,6100,910288,512068,398220,17245,8674,8571
